file	ratio	shd	档
469_谷忠澄_朝正.png	1.9738	-0.4614	左
477_千叶邦胤_朝正.png	1.7799	-0.4737	左
496_土居宗珊_朝正.png	1.4399	-0.4415	左
527_长井道利_朝正.png	1.4502	-0.5248	左
585_蜂须贺小六_朝右.png	5.8269	-0.2649	左
65_池田惣左卫门_朝正.png	1.5536	-0.4809	左
707_三好义兴_朝正.png	1.7064	-0.4892	左
719_毛利重能_朝右.png	1.5303	-0.4776	左
774_吉田重俊_朝正.png	1.4352	-0.5062	左
852_杉重矩_朝正.png	1.3997	-0.498	左
